[tt0174148]  []  
[tt0373336]  []  
[tt0218967]  [$75,764,085]  
[tt0170016]  [$260,031,030]  
[tt0268343]  []  
[tt0212338]  [$166,244,040]  
[tt0204626]  [$28,927,720]  
[tt0206917]  [$739,583 ]  
[tt0382314]  []  
[tt0144528]  [$123,307,940]  
[tt0278109]  []  
[tt0190590]  [$45,506,619]  
[tt0156323]  [$7,027,345 ]  
[tt0172495]  [$187,670,860]  
[tt0141926]  [$77,086,030]  
[tt0158622]  [$35,231,365]  
[tt0192614]  [$35,007,180]  
[tt0141399]  [$2,954,405 ]  
[tt0229694]  []  
[tt0144084]  [$15,070,285]  
[tt0125664]  [$34,580,635]  
[tt0174856]  [$50,668,906]  
[tt0126916]  [$35,168,395]  
[tt0120834]  [$14,378,353]  
[tt0134154]  [$630,779 ]  
[tt0145681]  [$66,488,090]  
[tt0160236]  [$9,694,105 ]  
[tt0131325]  [$66,365,290]  
[tt0132347]  [$29,655,590]  
[tt0163651]  [$101,736,210]  
[tt0120616]  [$155,247,820]  
[tt0123964]  [$63,844,974]  
[tt0131369]  [$22,362,500]  
[tt0132477]  [$32,481,825]  
[tt0120458]  [$14,010,690]  
[tt0171701]  []  
[tt0303076]  []  
[tt0131063]  []  
[tt0155975]  [$21,380,220]  
[tt0138097]  [$100,241,320]  
[tt0119643]  [$44,606,335]  
[tt0144120]  [$32,368,960]  
[tt0120776]  [$23,209,440]  
[tt0122718]  [$53,955,614]  
[tt0120780]  [$37,339,525]  
[tt0120669]  [$10,562,387]  
[tt0120610]  [$12,829,351]  
[tt0120749]  [$32,940,507]  
[tt0119942]  [$38,966,057]  
[tt0118747]  [$13,979,599]  
[tt0120693]  [$17,278,980]  
[tt0118760]  [$5,799,672 ]  
[tt0119142]  [$31,611,225]  
[tt0119395]  [$54,910,560]  
[tt0119484]  [$6,086,891 ]  
[tt0119509]  [$10,713,605]  
[tt0120133]  [$8,119,205 ]  
[tt0119567]  [$229,074,520]  
[tt0115927]  [$488,419 ]  
[tt0120318]  [$16,325,542]  
[tt0119528]  [$181,395,38]  
[tt0118928]  [$67,155,742]  
[tt0119115]  [$9,202,671 ]  
[tt0120004]  [$33,927,476]  
