WEO Subject Code,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
NGDP_RPCH,Denmark,-0.365,-0.887,3.714,2.652,4.166,4.024,4.949,0.29,-0.143,0.573,1.607,1.3,1.975,-0.09,5.525,3.065,2.835,3.198,2.16,2.56,3.529,0.705,0.466,0.384,2.296,2.445,3.395,1.583,-0.784,-5.666,1.577,1.104,-0.57,0.836,1.344,1.541,1.526,1.526,1.525
NGDP_RPCH,Djibouti,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.01,-6.655,-0.942,-3.488,-4.115,-0.746,0.099,3,0.417,1.793,3.234,3.186,2.779,3.111,4.763,5.079,5.806,5.031,3.487,4.468,4.841,4.964,4.962,5.494,5.807,5.807,5.793
NGDP_RPCH,Dominica,16.353,6.415,2.396,2.092,5.36,1.686,6.842,6.802,7.379,-1.12,6.343,2.147,2.742,1.858,2.147,1.602,3.078,1.977,2.768,1.631,1.289,0.461,-2.258,6.207,0.828,-1.744,3.671,3.939,7.794,-0.793,0.721,1.91,0.447,1.254,1.468,1.666,1.841,2.02,1.85
NGDP_RPCH,Dominican Republic,7.969,4.279,1.7,4.628,1.253,-2.123,3.522,10.117,2.156,4.401,-5.454,0.945,10.513,7.223,2.303,5.494,7.131,8.004,7.011,6.715,5.657,1.809,5.788,-0.253,1.312,9.263,10.671,8.475,5.256,3.454,7.751,4.483,3.888,2.23,3.43,4.59,5,4.954,5
NGDP_RPCH,Ecuador,4.9,3.9,1.2,-2.8,4.2,4.4,3.094,-5.972,10.486,0.285,3.008,5.113,3.614,2,4.258,2.253,1.732,4.328,3.267,-4.739,1.092,4.016,4.097,2.723,8.211,5.291,4.404,2.19,6.357,1.032,3.27,7.984,4.974,4.446,3.931,3.725,3.649,3.649,3.52
NGDP_RPCH,Egypt,3.409,2.198,7.296,8.876,8.021,7.425,4.759,4.273,3.994,2.993,2.35,2.1,0.3,2.9,4.188,4.484,4.879,5.919,7.543,6.11,5.383,3.524,3.186,3.193,4.092,4.472,6.844,7.088,7.156,4.674,5.147,1.776,2.215,2.006,3.255,5.524,6.527,7.037,6.509
NGDP_RPCH,El Salvador,-8.625,-5.725,-6.306,1.535,1.337,0.616,0.19,2.513,1.878,0.962,4.831,3.576,7.543,7.37,6.05,6.397,1.706,4.246,3.749,3.449,2.153,1.709,2.341,2.3,1.851,3.563,3.912,3.84,1.274,-3.133,1.365,1.969,1.6,1.6,1.6,1.7,1.8,2,2
NGDP_RPCH,Equatorial Guinea,4.839,5.769,2.202,5.004,1.011,12.905,-2.331,4.437,2.655,-1.229,-1.759,-1.022,34.745,11.033,16.669,17.486,66.58,149.973,23.774,25.664,18.214,63.38,19.463,13.955,37.999,9.749,1.26,18.683,13.83,-3.574,-2.571,4.528,2.031,-2.054,-0.823,-7.608,2.727,-5.867,-7.082
NGDP_RPCH,Eritrea,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12.882,20.918,2.325,9.136,7.9,1.966,0.187,-12.355,8.755,3.005,-2.656,1.452,2.574,-0.969,1.427,-9.783,3.877,2.194,8.674,7.019,3.361,2.118,1.722,1.865,0.667,0.61
NGDP_RPCH,Estonia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-1.642,2.155,5.689,11.74,6.723,-0.3,9.974,7.516,7.94,7.765,6.343,8.853,10.097,7.492,-4.151,-14.072,3.33,8.282,3.224,2.994,3.169,3.361,3.532,3.59,3.713
NGDP_RPCH,Ethiopia,3.997,--,0.961,7.845,-2.305,-11.413,9.693,13.87,0.574,-0.457,2.602,-7.218,-8.907,13.363,3.486,6.121,13.157,3.543,-4.045,6.042,5.927,7.418,1.634,-2.099,11.729,12.644,11.539,11.795,11.187,10.041,8,7.499,7,6.5,6.499,6.499,6.499,6.499,6.499
NGDP_RPCH,Fiji,-1.694,6.004,-1.092,-4.212,10.107,-3.774,6.596,-7.194,3.462,13.888,5.802,-2.708,6.107,2.605,5.089,4.915,4.741,-2.261,1.227,9.211,-1.78,1.97,3.154,0.996,5.456,2.5,1.856,-0.859,1.031,-1.307,0.145,1.869,2.08,2.216,2.041,1.994,1.994,2.011,2.029
NGDP_RPCH,Finland,5.366,1.291,3.042,3.016,3.112,3.301,2.638,3.491,5.215,5.059,0.531,-6.013,-3.488,-0.802,3.616,3.964,3.585,6.204,5.02,3.902,5.324,2.284,1.834,2.012,4.126,2.915,4.411,5.335,0.294,-8.539,3.323,2.777,-0.209,0.508,1.16,1.484,1.956,2.035,2.016
NGDP_RPCH,France,1.809,0.978,2.418,1.227,1.499,1.614,2.252,2.387,4.671,4.184,2.625,1.034,1.478,-0.665,2.248,2.044,1.067,2.189,3.377,3.287,3.686,1.834,0.928,0.901,2.54,1.826,2.468,2.289,-0.083,-3.146,1.664,1.693,0.03,-0.066,0.882,1.457,1.746,1.848,1.902
NGDP_RPCH,Gabon,--,-4,4.1,2,4.9,5.8,-2.1,-15.4,3.5,15.431,5.147,6.124,-3.087,3.947,3.713,4.974,3.625,5.738,3.478,-8.943,-1.883,2.15,-0.283,1.701,1.12,1.494,-1.913,5.171,1.003,-2.902,6.769,7.054,6.209,6.083,6.821,6.892,7.124,7.496,2.205
NGDP_RPCH,The Gambia,0.705,-9.523,20.759,13.518,-7.62,3.649,2.364,2.8,1.702,4.331,5.696,2.163,4.421,6.13,3.833,-3.398,6.146,4.934,6.5,6.399,5.525,5.753,-3.247,6.874,7.046,-0.942,1.124,3.631,5.735,6.45,6.526,-4.295,3.949,8.898,8.53,6.481,5.905,5.876,5.805
NGDP_RPCH,Georgia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.6,10.5,10.566,2.878,2.96,1.937,4.7,5.5,11.1,5.854,9.593,9.384,12.338,2.314,-3.776,6.253,7.174,6.547,5.977,5.997,5.994,6.02,5.983,5.983
NGDP_RPCH,Germany,1.272,0.11,-0.788,1.555,2.826,2.192,2.417,1.469,3.736,3.913,5.723,5.011,1.5,-1.015,2.533,1.773,0.819,1.784,1.662,1.743,3.298,1.64,0.025,-0.387,0.697,0.843,3.891,3.388,0.802,-5.073,4.024,3.096,0.865,0.613,1.455,1.319,1.317,1.279,1.237
NGDP_RPCH,Ghana,0.453,5.181,-5.038,-3.458,8.301,5.842,4.325,5.862,9.377,4.601,3.34,5.036,4.084,4.666,3.471,4.05,4.54,5.226,5.107,4.687,4.188,4.497,4.654,5.112,5.315,6.023,6.12,6.46,8.431,3.992,8.009,14.389,6.975,6.893,6.844,6.689,5.719,5.651,5.75
NGDP_RPCH,Greece,0.677,-1.554,-1.133,-1.079,2.011,2.51,0.518,-2.259,4.288,3.8,0,3.1,0.7,-1.6,2,3.036,2.358,3.638,3.364,3.42,3.528,4.197,3.439,5.944,4.368,2.28,5.507,3.536,-0.215,-3.137,-4.944,-7.106,-6.383,-4.214,0.596,2.941,3.73,3.509,3.299
NGDP_RPCH,Grenada,-3.605,0.878,4.549,2.658,4.884,7.691,8.572,10.768,3.213,6.012,5.208,2.57,-0.012,-2.356,3.004,2.726,4.564,5.173,12.804,7.617,6.223,-2.024,3.437,9.464,-0.647,13.273,-3.993,6.123,0.948,-6.659,-0.352,0.967,-0.818,0.497,1.012,1.499,1.871,2.155,2.25
NGDP_RPCH,Guatemala,3.7,0.644,-3.542,-2.528,0.51,-0.6,0.1,3.579,3.892,3.943,3.101,3.071,4.643,3.456,3.515,4.415,2.797,4.147,4.585,3.691,2.528,2.4,3.867,2.531,3.152,3.26,5.38,6.304,3.281,0.526,2.91,4.149,3,3.3,3.4,3.5,3.5,3.5,3.5
