id,user,date,source,retweets,text,followers,statuses,listed,friends,source_cleaned,tweettopic
10475,Toeda57,Fri  01 Mar 2013 22:49:11 +0000,Twitter for iPhone,0,And i still prefer Android. http://t.co/u0OPlLPbJT,9,150,1,1,iOS,Android
10486,SumzNadeem,Fri  01 Mar 2013 22:52:50 +0000,Twitter for iPhone,0,@javvieee it's a man. Get your facts right u android chicken nugget,36,1295,0,46,iOS,Android
10494,Paidinfull912,Fri  01 Mar 2013 22:54:20 +0000,Twitter for iPhone,0,@hey_MoeMoe lol yeah mane..I had an affair with android,361,11755,3,329,iOS,Android
10495,yocline,Fri  01 Mar 2013 22:54:46 +0000,Twitter for iPhone,0,Like other old folks I'm just going to blame technology  specifically Android cc/ @JJSIII,2369,10515,111,984,iOS,Android
10501,wnwnews,Fri  01 Mar 2013 22:55:47 +0000,Twitter for iPhone,0,1024 #DirtSheet #Android installs!  See why all the hype https://t.co/DQ4uUfel1Y,13010,21176,214,8,iOS,Android
10503,YunngNatnFree,Fri  01 Mar 2013 22:56:28 +0000,Twitter for iPhone,0,@dizzleduchess wordd !! mi nigga jus switch to Android or some :),601,18752,0,527,iOS,Android
10506,SariKreines,Fri  01 Mar 2013 22:58:02 +0000,Twitter for iPhone,0,?€?@timschwarz: just finished a runtastic run of 5.26 mi in 55m 14s with #runtastic PRO Android App: http://t.co/m5NccSrcsJ?€? awe yea #athletic,101,336,0,194,iOS,Android
10514,DB_FromRockwell,Fri  01 Mar 2013 22:59:07 +0000,Twitter for iPhone,0,And a android nigga,3873,13192,0,1179,iOS,Android
10525,AmineSeventy3,Fri  01 Mar 2013 23:01:40 +0000,Twitter for iPhone,0,I think we should take Google+ seriously as it is growing beside Twitter so that means Android too which means lots http://t.co/gVEdqBm9ez,11,575,0,108,iOS,Android
10538,UhitsLeeexo,Fri  01 Mar 2013 23:04:28 +0000,Twitter for iPhone,0,Sending emojis to an android user just to annoy them ????,1111,23795,6,1723,iOS,Android
10543,CamrynLaBoo,Fri  01 Mar 2013 23:05:32 +0000,Twitter for iPhone,0,But I'd prefer the android????,215,8326,0,213,iOS,Android
10565,Tago_the_Guez,Fri  01 Mar 2013 23:11:16 +0000,Twitter for iPhone,0,Your team Android...,340,20326,2,219,iOS,Android
10581,LadyEhilton,Fri  01 Mar 2013 23:15:34 +0000,Twitter for iPhone,0,?€?@Tru_ShesA_Bomb: I know ericka ain't just try play wit me wit no emojis?€?you Kno I did member u play with my old Android lls,391,15805,0,385,iOS,Android
10586,MauryRell_,Fri  01 Mar 2013 23:16:26 +0000,Twitter for iPhone,0,@CashDADDY_ oh thats the blow a bunch of useless android chargers smh,245,5364,1,243,iOS,Android
10590,HiRezAPC,Fri  01 Mar 2013 23:17:51 +0000,Twitter for iPhone,0,@peterloorke i gotta get someone with an android phone to see this baby in action. Well done though. Will share with others :),492,1746,9,97,iOS,Android
10593,CamrynLaBoo,Fri  01 Mar 2013 23:18:01 +0000,Twitter for iPhone,0,Considering the android doesn't work????,215,8328,0,213,iOS,Android
10595,BenedictEvans,Fri  01 Mar 2013 23:18:10 +0000,Twitter for iPhone,0,@charlesarthur @steveliput Acer was building a custom platform on top of Android. It was fragmenting it. That Moto phone doesn't do that,5986,25167,317,612,iOS,Android
10609,BenedictEvans,Fri  01 Mar 2013 23:21:52 +0000,Twitter for iPhone,0,The future of 'search' isn't a text box on a web page: it's deep device integration. That's why Android fragmentation is a problem.,5986,25168,317,612,iOS,Android
10613,BenedictEvans,Fri  01 Mar 2013 23:23:46 +0000,Twitter for iPhone,0,@davidchow I believe Samsung Android devices in China come without Google Play: https://t.co/9pW611unzA,5986,25169,317,612,iOS,Android
10616,dylanbarrell,Fri  01 Mar 2013 23:24:41 +0000,Twitter for iPhone,0,Standing room only for @pauljadam's Android #a11y presentation #csun13 http://t.co/eaoeEPGKVg,160,940,7,107,iOS,Android
10620,_BEasyDude,Fri  01 Mar 2013 23:25:34 +0000,Twitter for iPhone,0,?€?@fatBOOTY_: if this android man doesn't stop parchutin' down my screen?€? lmfao,453,53965,1,439,iOS,Android
10628,kayjayy90,Fri  01 Mar 2013 23:26:50 +0000,Twitter for iPhone,0,Bac to android I'm about to go...,220,1799,0,226,iOS,Android
10634,iamlemonfilm,Fri  01 Mar 2013 23:28:13 +0000,Twitter for iPhone,0,How to better use my Android system at home? Hmmm ...,17,481,0,48,iOS,Android
10635,mattack108,Fri  01 Mar 2013 23:28:55 +0000,Twitter for iPhone,0,5mins later and the Android OS system(tm) has crashed. And I was just updating the apps. You Google call it stable system...,26,415,1,46,iOS,Android
10647,LaurenGoode,Fri  01 Mar 2013 23:30:45 +0000,Twitter for iPhone,0,.@jack says he has high hopes for Android when @fredwilson asks about smartphone/tablet penetration (re: mobile payments) in emerging mkts,16460,11960,667,1034,iOS,Android
10649,AmineSeventy3,Fri  01 Mar 2013 23:31:09 +0000,Twitter for iPhone,0,Anything u want knw on android jynx box follow the unique tutorial how to put Xbmc &amp; navix our fellow @xctechs YouTube for more info,11,580,0,108,iOS,Android
10650,azfaznurfurrr,Fri  01 Mar 2013 23:31:10 +0000,Twitter for iPhone,0,@ina_loves26 too bad for android users. MUAHAHAHAHAHHA. ????????????????????????????????????,352,51112,0,323,iOS,Android
10651,mandyvan,Fri  01 Mar 2013 23:31:11 +0000,Twitter for iPhone,0,In the Android 4.2+ Accessibility session by @pauljadam @csun13,174,1703,5,274,iOS,Android
10668,OhhLizyBabyy,Fri  01 Mar 2013 23:35:15 +0000,Twitter for iPhone,0,@Edgar_92Till I didn't I had an android so iCloud wasn't there,140,3099,0,131,iOS,Android
10681,goodwitch,Fri  01 Mar 2013 23:38:17 +0000,Twitter for iPhone,0,SRO for @pauljadam session on  Talkback &amp; Magnification #a11y in Android. 4.2+ #CSUN13,2058,6791,218,480,iOS,Android
