X,date,followers,friends,listed,predicted,retweets,source,source_cleaned,statuses,tweettopic,user,text
3030,Fri  01 Mar 2013 20:14:29 +0000,322,74,6,u,0,iOS,iOS,19184,iOS,RinHugs,Apple's iOS tweet failure error message needs some work.
3032,Fri  01 Mar 2013 20:18:17 +0000,20,170,0,u,0,iOS,iOS,284,iOS,Ryanlight29,Real Racing 3 is #BADASS

That's how a #racing game &amp; #IAP should be done. #iOS #Games #EA
3033,Fri  01 Mar 2013 20:18:18 +0000,167,310,3,u,0,iOS,iOS,1564,iOS,Diabolical_13,iOS 6.. =~=)&gt; after so much struggle.
3036,Fri  01 Mar 2013 20:30:06 +0000,26,1,0,u,0,iOS,iOS,6645,iOS,wantme_247,YouTube: iCracUriDevice: invasion 1.4 link  do iCloud backup with iTunes  download invasion  jailbreak iOS 6.1.2  restore iCloud! Lol  easy
3037,Fri  01 Mar 2013 20:31:15 +0000,100,166,6,n,0,iOS,iOS,1920,iOS,theBibb,All iOS apps should allow you to set the font to Papyrus. 

NOT. ? (https://t.co/TvtSAw4cpF https://t.co/huzACIGZq1)
3038,Fri  01 Mar 2013 20:31:54 +0000,26,1,0,p,0,iOS,iOS,6646,iOS,wantme_247,After I used (invasion 1.4) jailbreak  my iPhone 3GS on iOS 6.1.2 seems faster! Much faster then b4!! Try invasion jailbreak Lol! Cydia Apps
3040,Fri  01 Mar 2013 20:35:23 +0000,0,0,0,u,0,iOS,iOS,5,iOS,HasseAndrew,Funny BitBook post in Pocket Planes for iOS! Dafuq  http://t.co/qAxVnL71WN http://t.co/6IIx52VklY
3044,Fri  01 Mar 2013 20:49:03 +0000,454,230,69,u,0,iOS,iOS,22021,iOS,NinoArt,Real Racing 3 for iOS is finally available in the App Store #Taiwan. It's free  I'm downloading it (700+MB) https://t.co/hQEqXj65gq
3045,Fri  01 Mar 2013 20:51:03 +0000,111,376,0,u,0,iOS,iOS,1531,iOS,AshleeyOchoa,Here's a meme I created with #MemeProducer for iOS  have a look: @natalytorrez @michelleswag94 http://t.co/JQbSddfVZo http://t.co/8zEto9Yc2r
3046,Fri  01 Mar 2013 20:51:53 +0000,23,83,0,u,0,iOS,iOS,1770,iOS,aboyahyia,Mac OS &amp; iOS   makes tweeting more easy and just one rich away of my hand
3047,Fri  01 Mar 2013 20:52:31 +0000,4,20,0,u,0,iOS,iOS,17,iOS,zanesam,Here's a meme I created with #MemeProducer for iOS  have a look: http://t.co/wNLSrxn1r6 http://t.co/KLw4udz6p6
3050,Fri  01 Mar 2013 20:57:32 +0000,108,371,0,p,0,iOS,iOS,2741,iOS,swervinerv82,This is awesome...but it's still way cooler to BLOW IT UP! Kids  do math  be engineers!!!  from Wimp iOS app: http://t.co/tdpWb50XO6
3051,Fri  01 Mar 2013 20:57:59 +0000,1,11,0,u,0,iOS,iOS,7,iOS,OttoYoc,Created in Volt for iOS: http://t.co/rRgYP9Ye1B http://t.co/5CNJ8m00MP
3052,Fri  01 Mar 2013 20:59:03 +0000,1186,190,18,u,0,iOS,iOS,30726,iOS,CenixNova,Removed Lockinfo 5 because 4 is better. #iPhone #iOS #Jailbreak
3053,Fri  01 Mar 2013 21:00:06 +0000,0,3,0,u,0,iOS,iOS,9,iOS,vcepeda8,Apocalypse Max - The most amazing zombie shooter on iOS!!
 http://t.co/UnSPiGGnfw http://t.co/mWUvkHfuFv
3054,Fri  01 Mar 2013 21:01:01 +0000,5,56,0,u,0,iOS,iOS,7,iOS,mana_soso,tweeting directly from within iOS 5. http://t.co/NWrJ8SDvaQ
3057,Fri  01 Mar 2013 21:08:48 +0000,37,96,0,u,0,iOS,iOS,20,iOS,nora_a_e,I love Mad Chef on iOS
3059,Fri  01 Mar 2013 21:09:44 +0000,299,430,14,u,0,iOS,iOS,1581,iOS,gordonmattey,Created with @OhaiUnicorn's #ImaUnicorn free for iOS!hnhhj http://t.co/o33D6Oydds http://t.co/N153ZJeHqD
3061,Fri  01 Mar 2013 21:11:10 +0000,16,21,0,u,0,iOS,iOS,53,iOS,DMinorchange,Desde iOS 6 forma my iPad
3062,Fri  01 Mar 2013 21:15:41 +0000,945,2000,8,u,0,iOS,iOS,39619,iOS,HE_VALENCIA,Beautiful set of iOS icons  http://t.co/PDCC2oAr3w
3063,Fri  01 Mar 2013 21:16:01 +0000,108,371,0,u,0,iOS,iOS,2742,iOS,swervinerv82,Uh  this dude has an interesting technique for solving a Rubiks Cube...go ahead  give it a try!!!  from Wimp iOS app: http://t.co/p9nhC1p9kc
