date,followers,friends,id,listed,predicted,retweets,source,source_cleaned,statuses,tweettopic,user,text
Fri  01 Mar 2013 18:39:58 +0000,2026,1691,9355,2,neutral,0,Twitter for iPhone,iOS,44990,Android,___aNs,@High_On_Android I'm thinking hot and spicy chicken!
Fri  01 Mar 2013 18:47:44 +0000,440,1813,9385,1,neutral,0,Twitter for iPhone,iOS,83,Android,TripScanners,Have you downloaded our FREE android app? Access over 2 million hotels worldwide. Save up to 80% now.  #tripscanners
Fri  01 Mar 2013 19:02:47 +0000,27,65,9421,0,neutral,0,Twitter for iPhone,iOS,612,Android,madrigalness408,Hit my phone replace thank u apple for ur shitty phones again gotta switch to android
Fri  01 Mar 2013 19:05:19 +0000,1062,1061,9435,2,positive,0,Twitter for iPhone,iOS,38738,Android,odlew11,@officialJROCKG @jdotdenmark23 it's on my android I'm upload it to the CPU and try to from there
Fri  01 Mar 2013 19:11:36 +0000,1094,588,9468,26,neutral,0,Twitter for iPhone,iOS,72023,Android,MaticgotblapzWB,?@DJBKnockin: Android sucks?fuck a Android da fuck is that
Fri  01 Mar 2013 19:11:39 +0000,77,67,9469,0,neutral,0,Twitter for iPhone,iOS,8696,Android,Dear_Romeo__,Super gay RT@aliciahurlz: if you have an android you're gay
Fri  01 Mar 2013 19:12:27 +0000,3151,239,9475,38,positive,0,Twitter for iPhone,iOS,11608,Android,TopFilmTip,True story of how a robot led apocalypse was averted by a boy  his psychotic mum &amp; an Austrian android-TERMINATOR 2: JUDGEMENT DAY 2255 ITV2
Fri  01 Mar 2013 19:15:36 +0000,59,213,9490,1,neutral,0,Twitter for iPhone,iOS,1088,Android,nathanbinding,@commonblob I can only speculate but maybe if you have and android home phone you could use it so it rings on there when you're at home?
Fri  01 Mar 2013 19:16:11 +0000,282,288,9494,1,neutral,0,Twitter for iPhone,iOS,40229,Android,treaa_xoxo,???? Kyron &amp; his stupid android ???? ugh
Fri  01 Mar 2013 19:17:10 +0000,72,58,9498,1,neutral,0,Twitter for iPhone,iOS,2858,Android,MadVillainVick,Fuck all you android dorks
Fri  01 Mar 2013 19:20:07 +0000,931,699,9515,8,neutral,0,Twitter for iPhone,iOS,17337,Android,Potterhead1234,@uSiriussss that's android for ya!
Fri  01 Mar 2013 19:23:57 +0000,435,112,9532,15,neutral,0,Twitter for iPhone,iOS,19350,Android,michelle_jung,@YSPWNS4E Stick with the Android unless you want a draining battery and to lose the ability to customize everything  haha.
Fri  01 Mar 2013 19:25:53 +0000,94,73,9544,0,negative,0,Twitter for iPhone,iOS,1431,Android,SAIW03,Also read another SC Android app will be released next week. Great news as the current Android app  for lack of a better word-bites!
Fri  01 Mar 2013 19:29:02 +0000,125,219,9554,4,neutral,0,Twitter for iPhone,iOS,257,Android,tc271,@WCOdevon Josh is that an android or apple app?
Fri  01 Mar 2013 19:31:52 +0000,524,198,9564,38,neutral,0,Twitter for iPhone,iOS,14423,Android,ArtMusicLife,@Lancebowski Oh and the developer is very responsive.  An email might speed up the Android version.
Fri  01 Mar 2013 19:32:10 +0000,1434,475,9565,53,negative,0,Twitter for iPhone,iOS,43475,Android,TheBlotSays,Gonna be killer! RT @deadzebra: Prepare to get lucky this month... #Android @shanejessup http://t.co/BAbBQJKcCu
Fri  01 Mar 2013 19:34:52 +0000,913,493,9580,3,neutral,0,Twitter for iPhone,iOS,26308,Android,d0vahkiin_,Haha sucks to have an android.
Fri  01 Mar 2013 19:36:42 +0000,17449,5,9590,144,neutral,0,Twitter for iPhone,iOS,11089,Android,NadiaPariss,Download it (Nadia Pariss wallpapers) for android only
Fri  01 Mar 2013 19:38:48 +0000,556,533,9597,1,positive,0,Twitter for iPhone,iOS,11930,Android,_dbaker1,Trappin off my android
Fri  01 Mar 2013 19:39:08 +0000,108,66,9598,0,neutral,0,Twitter for iPhone,iOS,9480,Android,MMTA7W,Dear android users  there's no buttons to the side of the home button on Apple devices  so stop acting like idiots
Fri  01 Mar 2013 19:39:54 +0000,91,175,9604,0,neutral,0,Twitter for iPhone,iOS,895,Android,Letursiaaa_,@SteadyRobbin still better than an android
Fri  01 Mar 2013 19:40:23 +0000,242,225,9608,0,neutral,0,Twitter for iPhone,iOS,14213,Android,remembershiyah,@StanleyFoster LOL neverrr   i had an android bud ..
Fri  01 Mar 2013 19:51:28 +0000,116,113,9621,0,neutral,0,Twitter for iPhone,iOS,3909,Android,lexii_danii,Sorry Android  but I can see clearly now how bad you suck.
Fri  01 Mar 2013 19:51:56 +0000,219,211,9625,1,neutral,0,Twitter for iPhone,iOS,10921,Android,B_Easy08,Android = Apple
Fri  01 Mar 2013 19:52:46 +0000,106,198,9628,2,neutral,0,Twitter for iPhone,iOS,7312,Android,DRinzauro,The little green android dude is on 27th st. About 5ft tall!!!
Fri  01 Mar 2013 19:53:28 +0000,172,150,9634,1,positive,0,Twitter for iPhone,iOS,1182,Android,ocitea,The #ABC 's of #Android game development: User input http://t.co/TpWFny810y
Fri  01 Mar 2013 19:54:47 +0000,1412,1372,9641,1,positive,0,Twitter for iPhone,iOS,18141,Android,young_carta_93,@Kishaaa_ the DIRT.  If I ever get another cracked screen I swear I'll be rockn an android
Fri  01 Mar 2013 19:57:34 +0000,56,176,9651,0,neutral,0,Twitter for iPhone,iOS,3773,Android,itseddiexx,@Emily_Christine I'm sure you could find it on google that's what I would do.  I never really used weather when I had android.
Fri  01 Mar 2013 19:59:40 +0000,194,491,9662,0,neutral,0,Twitter for iPhone,iOS,533,Android,Dylan_Mooney,@SeanHegarty5_ have ye not got a laptop or computer or a android tablet?
Fri  01 Mar 2013 20:05:27 +0000,3177,1660,9686,94,neutral,0,Twitter for iPhone,iOS,95300,Android,Unfamous_Celeb,Android needs to make an app compatible with iMessage.
Fri  01 Mar 2013 20:07:22 +0000,78,499,9694,0,neutral,0,Twitter for iPhone,iOS,470,Android,AliBali6t7,@renzotiger got 1 email ref: Android Tablet. Unfortunately I'm receiving texts from all other family members.
#fartoomany
Fri  01 Mar 2013 20:08:16 +0000,1680,267,9700,110,neutral,0,Twitter for iPhone,iOS,13948,Android,dot1ne,@barkerja_ not really  in my opinion only YouTube is tiny bit more polished  Gmail  Maps  G+  Current all perform and work better on Android
Fri  01 Mar 2013 20:08:29 +0000,51,70,9701,0,neutral,0,Twitter for iPhone,iOS,2274,Android,HumzaHumour,So I managed to get android apps working on my computer. So I had to give up the whole OS(WindowsAndroid) for just the apps(Blue stack)
Fri  01 Mar 2013 20:09:06 +0000,439,404,9703,0,neutral,0,Twitter for iPhone,iOS,10660,Android,Im_Queen_Bee,My boss didn't know what a android was she was like "the little green man right?"
Fri  01 Mar 2013 20:13:26 +0000,1045,952,9724,5,neutral,0,Twitter for iPhone,iOS,24348,Android,ShanaySays_,I need a charger for this phone! Anyone have a spare android charger?!
Fri  01 Mar 2013 20:13:29 +0000,284,236,9725,0,neutral,0,Twitter for iPhone,iOS,21229,Android,PBand_Jaimie,@sharing_iskaren this app you have that gives you money..they have it for android  too..it's hard to explain
Fri  01 Mar 2013 20:16:22 +0000,1110,810,9734,2,neutral,0,Twitter for iPhone,iOS,55784,Android,Hate_on_MINES,???????????????? she said "android users are like AKAs secretly hoping for a better way" ????????????????????
Fri  01 Mar 2013 20:20:52 +0000,658,377,9756,0,neutral,0,Twitter for iPhone,iOS,22772,Android,Zeke_Corleone,@J_Vice32 @girlsgonekyle7 @ejadajasmine @blaze23_johnny lmfaoooo whn James first got his Android
Fri  01 Mar 2013 20:22:12 +0000,812,756,9761,5,neutral,0,Twitter for iPhone,iOS,38031,Android,Poker_Face28,?@Hate_on_MINES: ???????????????? she said "android users are like AKAs secretly hoping for a better way" ????????????????????? omg ????????????
Fri  01 Mar 2013 20:24:27 +0000,1210,736,9774,3,neutral,0,Twitter for iPhone,iOS,34722,Android,AUUGHH,Started from a android now we're here ???? ???????????????
Fri  01 Mar 2013 20:26:11 +0000,2130,1287,9780,5,neutral,0,Twitter for iPhone,iOS,15425,Android,smsm747474,recommend you to use Qurani v 1.2.4. 
Visit the links from your android phone. 
Qurani v 1.2.4 ( http://t.co/ALSiFcZJtp
Fri  01 Mar 2013 20:32:06 +0000,2130,1287,9804,5,neutral,0,Twitter for iPhone,iOS,15426,Android,smsm747474,)

I recommend you to use Thousand Sunnah v 1.3. 
Visit the links from your android phone. 
Thousand Sunnah v 1.( http://t.co/yhHAvhGBpy )
Fri  01 Mar 2013 20:35:11 +0000,220,191,9814,0,neutral,0,Twitter for iPhone,iOS,12580,Android,MrsTiiney___,Fuck an Android ;)
Fri  01 Mar 2013 20:37:25 +0000,498,452,9827,3,neutral,0,Twitter for iPhone,iOS,16400,Android,lonzie_range,?@ay_2_fly7: @lonzie_range shiiii never that!!! Ima Android kinda guy lol? smh you gon learn someday!! *Kev Hart Voice*
Fri  01 Mar 2013 20:38:07 +0000,551,620,9832,5,positive,0,Twitter for iPhone,iOS,8809,Android,KoraBlagden,@davesargent @smiffysbar @barneybrazil @toryglenrangers @agentor73787152 Oops! ;) I'm sure it won't be long til it's on the android apps :)
Fri  01 Mar 2013 20:39:11 +0000,256,208,9839,0,neutral,0,Twitter for iPhone,iOS,1551,Android,Trevar_Martin,I ain't about that android life
